SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-12-2023,Single Family Residential,8320 Seward Park Ave S,Seattle,WA,98118,1075000,5,3,Rainier Beach,2540,5452,1966,,423,,Sold,,,https://www.redfin.com/WA/Seattle/8320-Seward-Park-Ave-S-98118/home/489799,NWMLS,1995414,N,Y,47.5289511,-122.2659787
PAST SALE,February-6-2023,Single Family Residential,2528 SW 112th St,Seattle,WA,98146,835000,6,3,Shorewood,3950,11100,1935,,211,,Sold,,,https://www.redfin.com/WA/Seattle/2528-SW-112th-St-98146/home/179745,NWMLS,2010836,N,Y,47.5030131,-122.3653892
PAST SALE,February-2-2023,Single Family Residential,2702 Queen Anne Ave N,Seattle,WA,98109,1600000,4,3,Queen Anne,2400,4000,1926,,667,,Sold,,,https://www.redfin.com/WA/Seattle/2702-Queen-Anne-Ave-N-98109/home/129644,NWMLS,2012785,N,Y,47.6442584,-122.3565623
PAST SALE,January-23-2023,Condo/Co-op,1240 5th Ave N #101,Seattle,WA,98109,805000,2,2,Queen Anne,1514,,1998,,532,896,Sold,,,https://www.redfin.com/WA/Seattle/1240-5th-Ave-N-98109/unit-101/home/18325,NWMLS,2009375,N,Y,47.6309883,-122.3471811
PAST SALE,February-2-2023,Single Family Residential,7323 19th Ave NE,Seattle,WA,98115,1102000,3,2,Ravenna,1810,6120,1908,,609,,Sold,,,https://www.redfin.com/WA/Seattle/7323-19th-Ave-NE-98115/home/310294,NWMLS,2011737,N,Y,47.6819647,-122.3080521
PAST SALE,January-31-2023,Single Family Residential,3541 SW 100th St,Seattle,WA,98146,870000,3,3,Arbor Heights,1560,5390,1922,,558,,Sold,,,https://www.redfin.com/WA/Seattle/3541-SW-100th-St-98146/home/155549,NWMLS,2012064,N,Y,47.5132439,-122.3780471
PAST SALE,January-27-2023,Single Family Residential,4154 20th Ave SW,Seattle,WA,98106,899000,4,2,Pigeon Point,2100,3700,1916,,428,,Sold,,,https://www.redfin.com/WA/Seattle/4154-20th-Ave-SW-98106/home/160329,NWMLS,2007345,N,Y,47.5650335,-122.3587816
PAST SALE,January-10-2023,Condo/Co-op,2201 3rd Ave #1402,Seattle,WA,98121,420000,1,1,Belltown,591,,1979,,711,690,Sold,,,https://www.redfin.com/WA/Seattle/2201-3rd-Ave-98121/unit-1402/home/18969,NWMLS,1992097,N,Y,47.6139031,-122.3440384
PAST SALE,January-30-2023,Single Family Residential,6052 48th Ave SW,Seattle,WA,98136,1180000,5,3,Seaview,2210,5000,2007,,534,,Sold,,,https://www.redfin.com/WA/Seattle/6052-48th-Ave-SW-98136/home/152420,NWMLS,1989555,N,Y,47.5470057,-122.3935557
PAST SALE,January-13-2023,Townhouse,3467 21st Ave W,Seattle,WA,98199,718500,3,2.5,Magnolia,1230,923,2009,,584,,Sold,,,https://www.redfin.com/WA/Seattle/3467-21st-Ave-W-98199/home/28624474,NWMLS,1999994,N,Y,47.6519305,-122.3839187
PAST SALE,January-24-2023,Single Family Residential,6052 Fauntleroy Way SW,Seattle,WA,98136,496000,2,1,Fauntleroy,1040,1124,1952,,477,,Sold,,,https://www.redfin.com/WA/Seattle/6052-Fauntleroy-Way-SW-98136/home/12303935,NWMLS,2004227,N,Y,47.5468792,-122.3828906
PAST SALE,January-12-2023,Townhouse,9212 18th Ave SW Unit A,Seattle,WA,98106,650000,3,2.5,Delridge,1479,743,2019,,439,,Sold,,,https://www.redfin.com/WA/Seattle/9212-18th-Ave-SW-98106/unit-A/home/171935211,NWMLS,2003483,N,Y,47.520663,-122.357374
PAST SALE,February-2-2023,Townhouse,914 N 100th St Unit B,Seattle,WA,98133,525000,2,1.5,Seattle,900,1,2022,,583,57,Sold,,,https://www.redfin.com/WA/Seattle/914-N-100th-St-98133/unit-B/home/182377229,NWMLS,2008915,N,Y,47.7016482,-122.3472131
PAST SALE,January-31-2023,Single Family Residential,3644 45th Ave SW,Seattle,WA,98116,1660000,4,3.5,Admiral,2544,4680,2022,,653,,Sold,,,https://www.redfin.com/WA/Seattle/3644-45th-Ave-SW-98116/home/331746,NWMLS,2006621,N,Y,47.5707079,-122.3889185
PAST SALE,February-2-2023,Single Family Residential,6316 22nd Ave SW,Seattle,WA,98106,410000,0,,Delridge,2300,21462,1956,,178,,Sold,,,https://www.redfin.com/WA/Seattle/6316-22nd-Ave-SW-98106/home/160822,NWMLS,2007414,N,Y,47.5459918,-122.3608536
PAST SALE,January-23-2023,Condo/Co-op,3401 Wallingford Ave N #306,Seattle,WA,98103,484950,2,1,Wallingford,694,,1987,,699,435,Sold,,,https://www.redfin.com/WA/Seattle/3401-Wallingford-Ave-N-98103/unit-306/home/12093231,NWMLS,2001219,N,Y,47.6483532,-122.3367288
PAST SALE,January-11-2023,Condo/Co-op,6960 California Ave SW Unit A-107,Seattle,WA,98136,370000,2,1,West Seattle,895,,1989,,413,453,Sold,,,https://www.redfin.com/WA/Seattle/6960-California-Ave-SW-98136/unit-A107/home/12538199,NWMLS,2008841,N,Y,47.5412007,-122.3867961
PAST SALE,February-3-2023,Condo/Co-op,2017 Eastlake Ave E #202,Seattle,WA,98102,598000,2,2,Eastlake,1017,,1992,,588,538,Sold,,,https://www.redfin.com/WA/Seattle/2017-Eastlake-Ave-E-98102/unit-202/home/5068,NWMLS,2012277,N,Y,47.6372755,-122.3262042
PAST SALE,January-23-2023,Condo/Co-op,4540 8th Ave NE #2206,Seattle,WA,98105,546000,2,2,University District,1130,,1974,,483,1109,Sold,,,https://www.redfin.com/WA/Seattle/4540-8th-Ave-NE-98105/unit-2206/home/9248,NWMLS,1986420,N,Y,47.662897,-122.318835
PAST SALE,January-12-2023,Townhouse,11306 Corliss Ave N,Seattle,WA,98133,580000,3,1.5,Licton Springs,1140,1550,2010,,509,,Sold,,,https://www.redfin.com/WA/Seattle/11306-Corliss-Ave-N-98133/home/39904500,NWMLS,1999880,N,Y,47.7111997,-122.3310506
PAST SALE,January-10-2023,Single Family Residential,1203 W Bothwell,Seattle,WA,98119,1246400,3,2,Queen Anne,2040,9267,1947,,611,,Sold,,,https://www.redfin.com/WA/Seattle/1203-W-Bothwell-St-98119/home/130093,NWMLS,1997411,N,Y,47.6436141,-122.3722269
PAST SALE,January-10-2023,Single Family Residential,2325 N 116th St,Seattle,WA,98133,850000,5,3,Northgate,2420,8148,1965,,351,,Sold,,,https://www.redfin.com/WA/Seattle/2325-N-116th-St-98133/home/103595,NWMLS,1992970,N,Y,47.7129663,-122.3302267
PAST SALE,January-31-2023,Townhouse,1643 22nd Ave,Seattle,WA,98122,802000,2,2,Capitol Hill,1401,661,2022,,572,,Sold,,,https://www.redfin.com/WA/Seattle/1643-22nd-Ave-98122/home/142067,NWMLS,1995006,N,Y,47.6164739,-122.303845
PAST SALE,January-12-2023,Townhouse,513 20th Ave E Unit A,Seattle,WA,98112,1100000,3,2,Capitol Hill,1607,1743,2015,,685,,Sold,,,https://www.redfin.com/WA/Seattle/513-20th-Ave-E-98112/unit-A/home/109660927,NWMLS,1995763,N,Y,47.6236435,-122.3063184
PAST SALE,January-17-2023,Single Family Residential,4456 40th Ave SW,Seattle,WA,98116,710000,3,1,West Seattle,2020,5750,1907,,351,,Sold,,,https://www.redfin.com/WA/Seattle/4456-40th-Ave-SW-98116/home/328639,NWMLS,2000205,N,Y,47.563035,-122.382474
PAST SALE,January-25-2023,Condo/Co-op,405 Prospect St Unit 100B,Seattle,WA,98109,260000,0,1,Queen Anne,406,4435,1930,,640,243,Sold,,,https://www.redfin.com/WA/Seattle/405-Prospect-St-98109/unit-100B/home/2064607,NWMLS,2003693,N,Y,47.6287499,-122.3485665
PAST SALE,February-7-2023,Townhouse,1700 Martin Luther King Jr Way S,Seattle,WA,98144,505000,3,2,Judkins,1190,2358,1998,,424,,Sold,,,https://www.redfin.com/WA/Seattle/1700-Martin-Luther-King-Jr-Way-S-98144/home/170594,NWMLS,1997105,N,Y,47.5881556,-122.297785
PAST SALE,January-18-2023,Single Family Residential,3629 40th Ave W,Seattle,WA,98199,1200000,4,2.5,Magnolia,1980,4572,1955,,606,,Sold,,,https://www.redfin.com/WA/Seattle/3629-40th-Ave-W-98199/home/128647,NWMLS,1986949,N,Y,47.6531168,-122.408185
PAST SALE,January-17-2023,Townhouse,4106 SW Morgan St,Seattle,WA,98136,720000,3,2.5,Gatewood,1396,4800,2022,,516,,Sold,,,https://www.redfin.com/WA/Seattle/4106-SW-Morgan-St-98136/home/180916346,NWMLS,2002022,N,Y,47.5448363,-122.3847239
PAST SALE,January-25-2023,Single Family Residential,8246 Corliss Ave N,Seattle,WA,98103,838000,4,2,Green Lake,1720,5535,1948,,487,,Sold,,,https://www.redfin.com/WA/Seattle/8246-Corliss-Ave-N-98103/home/306302,NWMLS,2005583,N,Y,47.690068,-122.3307542
PAST SALE,February-7-2023,Single Family Residential,3811 NE 52nd St,Seattle,WA,98105,800000,2,1,Bryant,980,3600,1953,,816,,Sold,,,https://www.redfin.com/WA/Seattle/3811-NE-52nd-St-98105/home/313642,NWMLS,2002358,N,Y,47.6665375,-122.2862572
PAST SALE,January-26-2023,Condo/Co-op,1100 S Atlantic St #102,Seattle,WA,98134,295000,1,1,Beacon Hill,754,,1969,,391,450,Sold,,,https://www.redfin.com/WA/Seattle/1100-S-Atlantic-St-98134/unit-102/home/18424,NWMLS,2007121,N,Y,47.5903454,-122.3182732
PAST SALE,January-27-2023,Townhouse,9358 Sturtevant Ave S,Seattle,WA,98118,595000,3,2,Rainier Beach,1519,946,2022,,392,,Sold,,,https://www.redfin.com/WA/Seattle/9358-Sturtevant-Ave-S-98118/home/182163887,NWMLS,2004346,N,Y,47.5174558,-122.2675899
PAST SALE,January-27-2023,Single Family Residential,5220 57th Ave S,Seattle,WA,98118,2600000,6,5,Seward Park,4550,6000,2022,,571,,Sold,,,https://www.redfin.com/WA/Seattle/5220-57th-Ave-S-98118/home/178440778,NWMLS,1997752,N,Y,47.5541739,-122.2617142
PAST SALE,January-18-2023,Single Family Residential,5220 Beacon Ave S,Seattle,WA,98108,360000,2,1,Beacon Hill,630,4680,1947,,571,,Sold,,,https://www.redfin.com/WA/Seattle/5220-Beacon-Ave-S-98108/home/479398,NWMLS,1996225,N,Y,47.5550639,-122.3026394
PAST SALE,January-11-2023,Townhouse,870 SW 96th Pl,Seattle,WA,98106,583000,3,2,White Center,1410,1899,2014,,413,237,Sold,,,https://www.redfin.com/WA/Seattle/870-SW-96th-Pl-98106/home/8188274,NWMLS,1994339,N,Y,47.5170992,-122.3467754
PAST SALE,January-27-2023,Single Family Residential,3245 NW Esplanade,Seattle,WA,98117,1025000,3,2,North Beach,2760,7560,1947,,371,6,Sold,,,https://www.redfin.com/WA/Seattle/3245-NW-Esplanade-98117/home/289153,NWMLS,1995548,N,Y,47.6980836,-122.3996267
PAST SALE,January-24-2023,Single Family Residential,730 N 81st St,Seattle,WA,98103,1139500,4,2,Phinney Ridge,3060,5610,1926,,372,,Sold,,,https://www.redfin.com/WA/Seattle/730-N-81st-St-98103/home/301267,NWMLS,1996426,N,Y,47.6878712,-122.3484796
PAST SALE,January-17-2023,Condo/Co-op,6055 35th Ave SW #205,Seattle,WA,98126,390000,2,2,Fairmount,915,,1979,,426,747,Sold,,,https://www.redfin.com/WA/Seattle/6055-35th-Ave-SW-98126/unit-205/home/36375,NWMLS,2002212,N,Y,47.5467819,-122.3767238
