CITY,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,PRICE/SQFT
Boston,1380000.0,3.0,3.0,Boston,1831.0,2013.0,754.0
Boston,572000.0,1.0,1.0,Charlestown's Navy Yard,619.0,1899.0,924.0
Boston,1300000.0,2.0,1.0,South End,850.0,1866.0,1529.0
Boston,440000.0,2.0,1.0,Dorchester's Neponset,1017.0,1905.0,433.0
Boston,415000.0,2.0,1.0,Jamaica Plain,1134.0,1960.0,366.0
Boston,533000.0,3.0,1.0,Roslindale,1193.0,1920.0,447.0
Boston,315999.0,3.0,1.0,Boston,1056.0,1989.0,299.0
Boston,5200000.0,3.0,4.0,Back Bay,3882.0,1910.0,1340.0
Boston,637000.0,1.0,1.0,South Boston,670.0,1899.0,951.0
Boston,325000.0,1.0,1.0,West Roxbury,644.0,1960.0,505.0
Boston,1520000.0,9.0,4.0,Brighton,3693.0,1905.0,412.0
Boston,1265000.0,4.0,3.0,Roslindale,2500.0,2022.0,506.0
Boston,510000.0,1.0,1.0,Back Bay,507.0,1899.0,1006.0
Boston,740000.0,2.0,1.0,Jamaica Plain,1013.0,1927.0,731.0
Boston,700000.0,2.0,2.0,East Boston's Jeffries Point,889.0,2022.0,787.0
Boston,467500.0,4.0,2.0,Boston,1470.0,1966.0,318.0
Boston,1350000.0,1.0,1.0,Seaport District,691.0,2019.0,1954.0
Boston,675000.0,2.0,1.0,Boston,1301.0,1920.0,519.0
Boston,999900.0,2.0,2.0,Brighton,902.0,2022.0,1109.0
Boston,1059900.0,1.0,1.0,Brighton,1077.0,2022.0,984.0
Boston,1200000.0,6.0,3.0,Dorchester,4074.0,1925.0,295.0
Boston,789900.0,1.0,1.0,Brighton,647.0,2022.0,1221.0
Boston,1425000.0,9.0,3.0,Dorchester,3990.0,1905.0,357.0
Boston,900000.0,5.0,3.0,Dorchester's Lower Mills,2936.0,1928.0,307.0
Boston,2550000.0,3.0,2.0,Back Bay,1645.0,1886.0,1550.0
Brookline,1225000.0,4.0,2.0,Chestnut Hill,1899.0,1935.0,645.0
Boston,1090000.0,2.0,2.0,Charlestown,1109.0,1860.0,983.0
Boston,9250000.0,4.0,4.0,Back Bay,3545.0,2009.0,2609.0
Boston,2250000.0,3.0,2.0,South Boston,2205.0,2018.0,1020.0
Boston,930000.0,3.0,2.0,Allston,1896.0,1920.0,491.0
Boston,400000.0,1.0,1.0,Roslindale,680.0,1890.0,588.0
Boston,395459.0,2.0,1.0,Jamaica Plain,1026.0,2003.0,385.0
Boston,425000.0,3.0,1.0,Brighton,1076.0,1927.0,395.0
Boston,1380000.0,3.0,2.0,Charlestown,1802.0,1875.0,766.0
Boston,765000.0,3.0,1.0,Boston,1302.0,1899.0,588.0
Boston,725000.0,1.0,1.0,Charlestown,827.0,2016.0,877.0
Cambridge,3200000.0,2.0,2.0,Harvard Square,1346.0,1986.0,2377.0
Boston,799000.0,3.0,2.0,East Boston's Jeffries Point,1438.0,2008.0,556.0
Boston,660000.0,1.0,1.0,East Boston,650.0,2022.0,1015.0
Boston,1610000.0,7.0,4.0,North End,2720.0,1920.0,592.0
Boston,4750000.0,3.0,3.0,Midtown,2222.0,2016.0,2138.0
Boston,800000.0,6.0,4.0,Dorchester,2973.0,1890.0,269.0
Boston,1220000.0,3.0,2.0,East Boston's Jeffries Point,1348.0,2022.0,905.0
Boston,1500000.0,8.0,4.0,Brighton's Cleveland Circle,3334.0,1895.0,450.0
Boston,870000.0,5.0,3.0,Dorchester's Codman Square,3000.0,1900.0,290.0
Boston,1022400.0,2.0,2.0,Brighton,1003.0,2022.0,1019.0
Boston,1263000.0,4.0,2.0,Prime Pondside location,1824.0,1960.0,692.0
Boston,375000.0,2.0,1.0,Dorchester,778.0,1901.0,482.0
Boston,1100000.0,3.0,2.0,Jamaica Plain,1982.0,1920.0,555.0
Boston,445000.0,2.0,1.0,West Roxbury,703.0,1930.0,633.0
Boston,589900.0,1.0,1.0,Brighton,576.0,2022.0,1024.0
Boston,710000.0,1.0,1.0,Back Bay,612.0,1889.0,1160.0
Boston,1150000.0,2.0,1.0,Back Bay,1200.0,1900.0,958.0
Boston,593000.0,1.0,1.0,North End,542.0,1900.0,1094.0
Boston,1019900.0,1.0,1.0,Brighton,1077.0,2022.0,947.0
Boston,540000.0,2.0,2.0,Dorchester,1248.0,1940.0,433.0
Boston,715000.0,2.0,2.0,Charlestown,889.0,1880.0,804.0
Boston,1250000.0,9.0,3.0,Boston,3810.0,1935.0,328.0
Boston,722500.0,3.0,3.0,Roslindale,1754.0,1930.0,412.0
Boston,990000.0,3.0,2.0,East Boston's Jeffries Point,1592.0,2018.0,622.0
Boston,1215000.0,3.0,2.0,Roxbury,3111.0,1900.0,391.0
Boston,375000.0,1.0,1.0,South Boston,436.0,1899.0,860.0
Boston,939900.0,3.0,1.0,Moss Hill,2627.0,1940.0,358.0
Boston,419000.0,2.0,1.0,Brighton,734.0,1950.0,571.0
Boston,725000.0,3.0,2.0,Dorchester,1338.0,2018.0,542.0
Boston,1079900.0,2.0,2.0,Brighton,1023.0,2022.0,1056.0
Boston,820000.0,6.0,3.0,Boston,3984.0,1900.0,206.0
Boston,325000.0,2.0,1.0,Dorchester,628.0,1960.0,518.0
Boston,840000.0,2.0,2.0,Roslindale,1249.0,2022.0,673.0
Boston,390000.0,0.0,1.0,The Fenway,356.0,1910.0,1096.0
Boston,609000.0,2.0,2.0,Charlestown,796.0,1880.0,765.0
Boston,1339000.0,1.0,1.0,South End,841.0,2021.0,1592.0
Boston,529900.0,1.0,1.0,Brighton,498.0,2022.0,1064.0
Boston,1680800.0,3.0,2.0,South End,1750.0,1890.0,960.0
Boston,769000.0,2.0,1.0,Charlestown,860.0,1865.0,894.0
Boston,650000.0,3.0,2.0,Dorchester's Neponset,1175.0,1920.0,553.0
Boston,585000.0,3.0,2.0,Hyde Park,1400.0,2001.0,418.0
Boston,864900.0,1.0,1.0,Brighton,837.0,2022.0,1033.0
Boston,2435000.0,3.0,2.0,Back Bay,1787.0,1925.0,1363.0
Boston,856000.0,1.0,1.0,Boston,770.0,1910.0,1112.0
Brookline,2450000.0,3.0,3.0,Brookline,2458.0,1920.0,997.0
Boston,954900.0,2.0,2.0,Brighton,932.0,2022.0,1025.0
Boston,499000.0,1.0,1.0,South Boston,640.0,1920.0,780.0
Boston,522500.0,2.0,1.0,Roslindale,1092.0,1950.0,478.0
Boston,570000.0,1.0,1.0,East Boston,1000.0,1910.0,570.0
Boston,699900.0,1.0,1.0,Brighton,647.0,2022.0,1082.0
Boston,829900.0,1.0,1.0,Brighton,709.0,2022.0,1171.0
Boston,1029900.0,2.0,2.0,Brighton,950.0,2022.0,1084.0
Boston,880000.0,2.0,2.0,South Boston,987.0,1900.0,892.0
Boston,729900.0,2.0,1.0,East Boston's Jeffries Point,872.0,2022.0,837.0
Boston,999900.0,2.0,2.0,Brighton,1003.0,2022.0,997.0
Boston,1069900.0,2.0,2.0,Brighton,1068.0,2022.0,1002.0
Boston,700000.0,1.0,1.0,Brighton,709.0,2022.0,987.0
Boston,503000.0,2.0,1.0,West Roxbury,844.0,1900.0,596.0
Boston,539000.0,2.0,2.0,Boston,819.0,1900.0,658.0
Boston,599000.0,2.0,2.0,East Boston's Eagle Hill,901.0,2021.0,665.0
Boston,1300000.0,6.0,3.0,Boston,3306.0,1905.0,393.0
Boston,599900.0,1.0,1.0,Brighton,619.0,2022.0,969.0
Boston,875000.0,2.0,2.0,South Boston,1139.0,2015.0,768.0
Boston,700000.0,7.0,3.0,Dorchester,2929.0,1905.0,239.0
Boston,689900.0,1.0,1.0,Brighton,647.0,2022.0,1066.0
Boston,375000.0,2.0,1.0,Roslindale,680.0,1970.0,551.0
Boston,490000.0,2.0,1.0,Boston,1856.0,1950.0,264.0
Boston,810000.0,5.0,3.0,Boston,3819.0,1900.0,212.0
Boston,899900.0,2.0,1.0,Brighton,1020.0,2022.0,882.0
Boston,1059900.0,2.0,2.0,Brighton,976.0,2022.0,1086.0
Boston,679900.0,1.0,1.0,Brighton,676.0,2022.0,1006.0
Boston,946900.0,2.0,2.0,Brighton,1020.0,2022.0,928.0
